Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),License_Duration_Years,License_Status
Toili Barat,Banggai,Nikel Lembah Kramat,1369000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lembah Kramat,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bualemo,"PT Bumi Gemilang Perdana, Laporan RKAB Tahun 2020",1389,122.085,-1.571,IUP,Kecamatan Toili Barat,198.0,2032-03-05,2022-12-12,35775.25,2870.354,94338.716,9.235616438356164,Active
Toili Barat,Banggai,Nikel Blok Gunung Keramat,2539000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Gunung Keramat,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Bumi Makmur Gemilang, Laporan RKAB Tahun 2020",1561,122.0832,1.5975,IUP,"Kec. Toili, Banggai",3447.0,2035-03-05,2015-09-02,34213.441,971.351,92917.978,19.517808219178082,Active
Toili Barat,Banggai,Nikel Blok Rata,2540000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Rata,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Bumi Makmur Gemilang, Laporan RKAB Tahun 2020",1562,122.1406,-1.5733,IUP,"Kec. Toili, Banggai",3447.0,2035-03-05,2015-09-02,41130.756,513.739,99840.962,19.517808219178082,Active
Bungku Selatan,Morowali,Nikel Sambalagi,288000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sambalagi,Sulawesi Tengah,Eksplorasi,0,0,"Kadar Ni 1% - 1,4%","PT Bumi Morowali Utama, 2015",1304,122.259,-3.068,IUP,Desa Laroenai Kec. Bungku Pesisir,1963.0,2026-10-20,2011-10-27,,,,14.991780821917809,Active
Bungku Barat,Morowali,Nikel Blok 1,2945000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 1,Sulawesi Tengah,Operasi Produksi,125284800,149088912,Blok 1,"PT Bumi Routa Mining, Laporan RKAB Tahun 2022",1665,121.728,-2.388,IUP,"Desa Bahoea dan Wosu, Kec. Bungku Barat, kab. Morowali",5690.0,2034-09-15,2014-09-15,53599.062,6394.198,38564.455,20.013698630136986,Active
Bahodopi,Morowali,Nikel Sumbatu 1,2861000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumbatu 1,Sulawesi Tengah,Operasi Produksi,33100000,355684,Blok 1 - Blok 6,"PT Cahaya Ginda Ganda, Laporan RKAB Tahun 2022",1658,122.076,-2.8126,IUP,"Siumbatu, Bahodopi, Morowali",1942.0,2030-08-11,2010-08-12,9877.117,731.344,1945.202,20.01095890410959,Active
Bungku Selatan,Morowali,Nikel Blok Cetara Lalampu,2787000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Cetara Lalampu,Sulawesi Tengah,Eksplorasi,5800000,68614,Laterit,"PT Cetara Bangun Persada, Laporan RKAB Tahun 2020",1604,122.0746,-2.781,IUP,Desa Lalampu Kecamatan Bahodopi,199.0,2031-10-18,2021-10-19,,,,10.002739726027396,Active
Mamosalato,Morowali Utara,Nikel Kolo Bawah,2806000000,Nikel,Ni,Logam Besi dan Paduan Besi,Kolo Bawah,Sulawesi Tengah,Operasi Produksi,230000,25641,"Blok A dan Blok B, kadar NI 1,49% s.d. 1,71%","PT Ganesha Wana Utama, Laporan RKAB Tahun 2020",1624,121.898,-1.6829,IUP,Desa Kolo Bawah Kec. Mamosalato,199.5,2032-04-18,2022-08-02,11565.13,81.349,70250.172,9.717808219178082,Active
Toili Barat,Banggai,Nikel Blok Gunung Keramat 1,2541000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Gunung Keramat 1,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Bangun Perkasa, Laporan RKAB Tahun 2020",1563,122.209,-1.5105,IUP,"Kec Toili dan Toili Barat, Kab Banggai",4398.0,2035-03-28,2015-09-02,51067.821,191.917,109673.516,19.58082191780822,Active
Nuhon,Banggai,Nikel Sumber Agung,2542000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Agung,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,5%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1564,122.1842,-0.9889,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677.0,2035-02-22,2015-09-02,53598.078,231.759,142569.135,19.487671232876714,Active
Bunta,Banggai,Nikel Sumber Mulya,2543000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Mulya,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1565,122.2337,-0.9596,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677.0,2035-02-22,2015-09-02,50716.229,43.135,148685.848,19.487671232876714,Active
Bunta,Banggai,Nikel Donda,2544000000,Nikel,Ni,Logam Besi dan Paduan Besi,Donda,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1566,122.2857,-0.9263,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677.0,2035-02-22,2015-09-02,44016.313,968.527,155336.793,19.487671232876714,Active
